nom_commune,codes_postaux,code_insee,latitude,longitude
Conzieu,1300,1117,45.733333,5.6
Corbonod,1420,1118,45.95,5.816667
Corcelles,1110,1119,46.033333,5.583333
Corlier,1110,1121,46.033333,5.5
Cormaranche-en-Bugey,1110,1122,45.95,5.6
Cressin-Rochefort,1350,1133,45.766667,5.766667
Culoz,1350,1138,45.85,5.783333
Divonne-les-Bains,1220,1143,46.366667,6.133333
Echenevex,1170,1153,46.316667,6.033333
Evosges,1230,1155,45.958333,5.5
Farges,1550,1158,46.166667,5.916667
Ferney-Voltaire,1210,1160,46.25,6.116667
Flaxieu,1350,1162,45.816667,5.733333
Gex,1170,1173,46.333333,6.066667
Giron,1130,1174,46.233333,5.766667
Grilly,1220,1180,46.333333,6.116667
Groslée,1680,1182,45.716667,5.566667
Hauteville-Lompnes,1110,1185,45.966667,5.6
Hostiaz,1110,1186,45.9,5.533333
Hotonnes,1260,1187,46,5.683333
Injoux-Génissiat,1200,1189,46.05,5.783333
Innimond,1680,1190,45.783333,5.566667
Izenave,1430,1191,46.033333,5.533333
Izieu,1300,1193,45.65,5.633333
La Burbanche,1510,1066,45.85,5.566667
Lancrans,1200,1205,46.133333,5.833333
Lantenay,1430,1206,46.05,5.533333
Lavours,1350,1208,45.8,5.766667
Léaz,1200,1209,46.1,5.883333
Le Grand-Abergement,1260,1176,46.033333,5.666667
Lélex,1410,1210,46.3,5.95
Le Petit-Abergement,1260,1292,46.033333,5.65
Lhuis,1680,1216,45.75,5.533333
Lochieu,1260,1218,45.933333,5.716667
Lompnas,1680,1219,45.8,5.516667
Lompnieu,1260,1221,45.966667,5.65
Magnieu,1300,1227,45.783333,5.716667
Marchamp,1680,1233,45.783333,5.55
Marignieu,1300,1234,45.8,5.716667
Massignieu-de-Rives,1300,1239,45.75,5.766667
Mijoux,1170,1247,46.366667,6
Montagnieu,1470,1255,45.8,5.466667
Montanges,1200,1257,46.166667,5.8
Murs-et-Gélignieux,1300,1268,45.633333,5.666667
Nattages,1300,1271,45.733333,5.766667
Nivollet-Montgriffon,1230,1277,45.983333,5.433333
Oncieu,1230,1279,45.95,5.466667
Ordonnaz,1510,1280,45.833333,5.533333
Ornex,1210,1281,46.283333,6.1
Outriaz,1430,1282,46.066667,5.55
Parves,1300,1286,45.75,5.75
Péron,1630,1288,46.2,5.933333
Plagne,1130,1298,46.183333,5.733333
Pollieu,1350,1302,45.8,5.75
Pougny,1550,1308,46.133333,5.95
Prémeyzel,1300,1310,45.683333,5.65
Prémillieu,1510,1311,45.866667,5.566667
Prévessin-Moëns,1280,1313,46.25,6.083333
Pugieu,1510,1316,45.816667,5.65
Rossillon,1510,1329,45.833333,5.6
Ruffieu,1260,1330,46,5.666667
Saint-Benoît,1300,1338,45.7,5.583333
Saint-Bois,1300,1340,45.7,5.633333
Saint-Champ,1300,1341,45.783333,5.733333
Saint-Genis-Pouilly,1630,1354,46.25,6.016667
Saint-Germain-de-Joux,1130,1357,46.183333,5.733333
Saint-Germain-les-Paroisses,1300,1358,45.766667,5.616667
Saint-Jean-de-Gonville,1630,1360,46.216667,5.95
Saint-Martin-de-Bavel,1510,1372,45.85,5.683333
Saint-Rambert-en-Bugey,1230,1384,45.95,5.433333
Sauverny,1220,1397,46.316667,6.116667
Ségny,1170,1399,46.3,6.083333
Seillonnaz,1470,1400,45.8,5.483333
Sergy,1630,1401,46.25,6
Seyssel,1420,1407,45,96
Songieu,1260,1409,45.966667,5.7
Surjoux,1420,1413,46.016667,5.8
Sutrieu,1260,1414,45.95,5.65
Talissieu,1510,1415,45.866667,5.716667
Tenay,1230,1416,45.916667,5.5
Thézillieu,1110,1417,45.883333,5.6
Torcieu,1230,1421,45.916667,5.4
Vesancy,1170,1436,46.35,6.083333
Vieu,1260,1442,45.9,5.683333
Vieu-d'Izenave,1430,1441,46.083333,5.533333
Villes,1200,1448,46.083333,5.783333
Virieu-le-Grand,1510,1452,45.85,5.65
Virieu-le-Petit,1260,1453,45.9,5.716667
Virignin,1300,1454,45.716667,5.716667
Vongnes,1350,1456,45.816667,5.716667
Ambérieux-en-Dombes,1330,1005,46,4.9
Arbigny,1190,1016,46.466667,4.966667
Ars-sur-Formans,1480,1021,45.983333,4.816667
